Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Base,"0,48676","9,482E-06","-0,70598",0,0,0,"21,415","0,48442","-2,0322E-14","-3,9491E-10","0,48443","8,6589E-06","0,13467",0,0,0,0,0,0,package://Robot5G.SLDASM/meshes/Base.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://Robot5G.SLDASM/meshes/Base.STL,,eslabon0-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Eslabon_1,"0,00061927","2,4339E-08","-0,051532",0,0,0,"0,083291","3,3019E-05","3,5212E-13","-1,59E-08","3,5105E-05","-7,7326E-09","1,7666E-05",0,0,0,0,0,0,package://Robot5G.SLDASM/meshes/Eslabon_1.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://Robot5G.SLDASM/meshes/Eslabon_1.STL,,eslabon1-1,Origin_Motor_12,Axis_Motor_12,Motor_1,revolute,"0,48676",0,"-0,22168",0,0,"-2,9757",Base,0,0,1,0,0,0,0,,,,,,,,
Eslabon_2,"0,00032037","0,11787","0,010216",0,0,0,"0,10279","4,0086E-05","-1,5899E-08","-3,247E-12","2,3769E-05","7,7327E-09","4,5429E-05",0,0,0,0,0,0,package://Robot5G.SLDASM/meshes/Eslabon_2.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://Robot5G.SLDASM/meshes/Eslabon_2.STL,,eslabon2-1,Origin_Motor_22,Axis_Motor_22,Motor_2,revolute,0,0,0,"-2,4749",0,0,Eslabon_1,1,0,0,0,0,0,0,,,,,,,,
Eslabon_3,"-0,00091761","0,12301","2,0313E-08",0,0,0,"0,10663","4,659E-05","1,5902E-08","-2,3542E-12","2,41E-05","-7,7328E-09","5,1608E-05",0,0,0,0,0,0,package://Robot5G.SLDASM/meshes/Eslabon_3.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://Robot5G.SLDASM/meshes/Eslabon_3.STL,,eslabon3-1,Origin_Motor_32,Axis_Motor_32,Motor_3,revolute,0,"0,17904","0,010216","-0,76414",0,0,Eslabon_2,1,0,0,0,0,0,0,,,,,,,,
Eslabon_4,"0,000374705694920985","0,0723690967898943","-2,60933163964694E-10",0,0,0,"0,123568195766219","2,37751611649657E-05","-2,13392160210239E-08","2,62558153734513E-14","5,69082725525632E-05","-1,66014981438627E-13","5,76316977977271E-05",0,0,0,0,0,0,package://Robot5G.SLDASM/meshes/Eslabon_4.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://Robot5G.SLDASM/meshes/Eslabon_4.STL,,eslabon4-1,Origin_Motor_42,Axis_Motor_42,Motor_4,revolute,0,"0,20038","-0,0034543","-2,7889",0,"-3,1416",Eslabon_3,1,0,0,0,0,0,0,,,,,,,,
Garra_P1,"0,0126700351226644","0,0177616891580821","-0,0196330371730266",0,0,0,"0,0372211324668284","6,31174008552406E-06","-1,93064065620486E-06","1,71439433567917E-08","7,45803328253789E-06","1,27050475801116E-08","6,56502742204427E-06",0,0,0,0,0,0,package://Robot5G.SLDASM/meshes/Garra_P1.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://Robot5G.SLDASM/meshes/Garra_P1.STL,,garra_P1-1,Origin_Motor_52,Axis_Motor_52,Motor_5,revolute,"0,0107","0,13999",0,"-0,70277","0,7172","-0,91087",Eslabon_4,"0,59541","-0,80342",0,0,0,0,0,,,,,,,,
Garra_P2_1,"-2,05746530923534E-12","-3,72146757854352E-13","0,00624644040331784",0,0,0,"0,00121291551647591","3,769105052066E-08","3,99131189169087E-20","7,6786349082685E-20","3,87089265404231E-08","5,09195841475393E-20","7,12411206791943E-08",0,0,0,0,0,0,package://Robot5G.SLDASM/meshes/Garra_P2_1.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Robot5G.SLDASM/meshes/Garra_P2_1.STL,,p1-1,Origin_Motor_62,Axis_Motor_6,Motor_6,revolute,"0,0057125","0,014881","-0,005",0,0,0,Garra_P1,0,0,1,0,0,0,0,,,,,,,,
Aux_1_1,"0,000500042878986862","-0,00900000260796199","-0,00397667506552768",0,0,0,"0,00115155367561675","1,47594409742263E-07","4,12031647666591E-14","-3,36034846930511E-09","1,86128977276867E-07","3,22003422384585E-14","3,93022723623027E-08",0,0,0,0,0,0,package://Robot5G.SLDASM/meshes/Aux_1_1.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Robot5G.SLDASM/meshes/Aux_1_1.STL,,p4-1,Origin_motor_P2_12,,motor_P2_1,revolute,0,0,0,"-1,5708",0,"-3,1416",Garra_P2_1,0,0,0,0,0,0,0,,,,,,,,
G1,"0,000914821632117979","-0,00899999999947837","0,00216682871923912",0,0,0,"0,000238316331354724","2,9024331377828E-08","-2,79897239772631E-21","3,10776583363798E-09","2,96198622955456E-08","3,1853794811228E-20","7,5440847195405E-10",0,0,0,0,0,0,package://Robot5G.SLDASM/meshes/G1.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Robot5G.SLDASM/meshes/G1.STL,,p6-1,Origin_M_G12,,M_G1,fixed,"0,016172","-0,016","-0,043903",0,"1,1162","3,1416",Aux_1_1,0,0,0,,,,,,,,,,,,
Garra_P2_2,"-1,52700074806944E-12","0,00200000000066447","-1,27625687795785E-12",0,0,0,"0,000885929128312322","3,1844753933113E-08","8,25900550555102E-20","-1,9951596374779E-20","6,41167644671141E-08","3,34933701828846E-20","3,2862629952876E-08",0,0,0,0,0,0,package://Robot5G.SLDASM/meshes/Garra_P2_2.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Robot5G.SLDASM/meshes/Garra_P2_2.STL,,p8-2,Origin_M6_aux_12,Axis_M6_aux_12,M6_aux_1,revolute,"-0,015859","-0,0011055",0,"1,5708",0,"0,99746",Garra_P1,0,1,0,0,0,0,0,,,,,,,,
